,Liwc,statistics,p-val,rel,liwc_mean,liwc_std,liwc_len,trait_mean,trait_std,trait_len
0,death,,,,0.0,0.0,320,24.003125,11.642727997955419,320
1,Linguistic,-0.2525050310161681,4.794229123754284e-06,Negative,75.62934375,3.17978712052174,320,24.003125,11.642727997955419,320
2,insight,0.022340896736771768,0.6905329779171412,,3.992,1.3445625682726705,320,24.003125,11.642727997955419,320
3,Dic,-0.1298318414592915,0.020165431632649253,Negative,94.62493749999999,1.6935530316744585,320,24.003125,11.642727997955419,320
4,tentat,-0.41129644732329856,1.708720770090332e-14,Negative,2.5605625,1.4852761724991586,320,24.003125,11.642727997955419,320
5,space,0.026510946920290625,0.6365917478485023,,6.5453125,1.4977484860095,320,24.003125,11.642727997955419,320
6,friend,0.2165373418754844,9.430086462511483e-05,Positive,0.39575,0.3080341904724214,320,24.003125,11.642727997955419,320
7,fatigue,-0.08642418403617763,0.12286940125271954,,0.010312499999999999,0.05172549993716832,320,24.003125,11.642727997955419,320
8,attention,0.12153831014050515,0.029727707356011473,Positive,1.0049375,0.7022735372301522,320,24.003125,11.642727997955419,320
9,Physical,-0.07056914829144606,0.20802693448524295,,0.4874375000000001,0.4188790799189547,320,24.003125,11.642727997955419,320
10,lack,-0.13022826015674885,0.019784487824014627,Negative,0.06612499999999999,0.2042286938091707,320,24.003125,11.642727997955419,320
11,prep,-0.06705796987852677,0.23160990928451947,,13.466437500000001,1.4711468089873796,320,24.003125,11.642727997955419,320
12,power,-0.2861980488505727,1.8986833349195283e-07,Negative,0.9340624999999999,0.6020873035480403,320,24.003125,11.642727997955419,320
13,emo_anx,-0.21095936805204704,0.0001436131597124271,Negative,0.6399375,0.7071659961379294,320,24.003125,11.642727997955419,320
14,adverb,-0.242584291165779,1.1428308777180644e-05,Negative,7.185437500000001,1.998118598480518,320,24.003125,11.642727997955419,320
15,ethnicity,0.044992741788914666,0.42248858683732604,,0.001375,0.01735610483374654,320,24.003125,11.642727997955419,320
16,focuspresent,0.07129165949884975,0.20339716913271055,,0.6260312499999999,0.5724854247257631,320,24.003125,11.642727997955419,320
17,nonflu,,,,0.0,0.0,320,24.003125,11.642727997955419,320
18,focuspast,-0.2576267593908134,3.017995701496057e-06,Negative,10.156,1.6450965777120807,320,24.003125,11.642727997955419,320
19,tone_neg,-0.3544832278375798,6.593460780462663e-11,Negative,1.50503125,1.1900659116298715,320,24.003125,11.642727997955419,320
20,time,0.07495614670923872,0.1810622931489817,,5.05421875,1.365391661629892,320,24.003125,11.642727997955419,320
21,motion,0.4209304523994667,3.5755985499515776e-15,Positive,1.58203125,0.8027760033305912,320,24.003125,11.642727997955419,320
22,Social,0.26672908893187436,1.2938168683817383e-06,Positive,9.729375000000001,2.341710829580587,320,24.003125,11.642727997955419,320
23,verb,-0.09016841579662518,0.10740863977799098,,16.485468750000003,1.9704473870858459,320,24.003125,11.642727997955419,320
24,discrep,-0.07120762596784205,0.20393177644214064,,1.2954374999999998,0.6616837867091425,320,24.003125,11.642727997955419,320
25,prosocial,0.1155025802534271,0.03892267296335811,Positive,1.3295937500000001,0.7778083134429314,320,24.003125,11.642727997955419,320
26,memory,0.35737011078137043,4.5004606606858506e-11,Positive,0.23078125,0.34595115572640817,320,24.003125,11.642727997955419,320
27,socbehav,0.1284658481663934,0.02152730817929047,Positive,4.212625,1.110047007732105,320,24.003125,11.642727997955419,320
28,cogproc,-0.41226513159514544,1.4633489260835312e-14,Negative,11.645406249999999,2.9572217468361988,320,24.003125,11.642727997955419,320
29,emo_neg,-0.29766005864283374,5.718663436737704e-08,Negative,0.9685312500000001,0.8873728952776491,320,24.003125,11.642727997955419,320
30,mental,-0.181069171365126,0.0011406459799734904,Negative,0.14837499999999998,0.21841871342675745,320,24.003125,11.642727997955419,320
31,number,0.04934136283348845,0.37900719527781357,,0.38721875,0.3476071088865093,320,24.003125,11.642727997955419,320
32,wellness,0.08160435335401803,0.14525426567734204,,0.02359375,0.07754368098650914,320,24.003125,11.642727997955419,320
33,Conversation,-0.16346478312412188,0.0033629550177519036,Negative,0.010312499999999999,0.04844999838751287,320,24.003125,11.642727997955419,320
34,AllPunc,-0.07651257578976299,0.1721447556365744,,12.12525,1.5238515962848878,320,24.003125,11.642727997955419,320
35,male,0.2286055637697493,3.655926156960882e-05,Positive,0.12028124999999998,0.29771984884860714,320,24.003125,11.642727997955419,320
36,allnone,0.19748667904564177,0.00037943577926454836,Positive,1.8935937500000002,1.0919869607559138,320,24.003125,11.642727997955419,320
37,you,0.0013815698680744843,0.9803600041436135,,0.0016250000000000001,0.02050571566661354,320,24.003125,11.642727997955419,320
38,WPS,-0.1410541024146505,0.01153629560033644,Negative,16.106625,1.6597572817659214,320,24.003125,11.642727997955419,320
39,illness,-0.05424870410033377,0.3333714712097351,,0.0044375,0.04296432931805175,320,24.003125,11.642727997955419,320
40,OtherP,0.06391132042618305,0.25429785794544096,,0.26678125,0.31408689426405156,320,24.003125,11.642727997955419,320
41,pronoun,-0.31550364954757704,7.934384550506595e-09,Negative,16.576749999999997,1.7412210334991935,320,24.003125,11.642727997955419,320
42,Tone,0.45628050197170106,7.357095123183741e-18,Positive,79.61475,23.987063530421974,320,24.003125,11.642727997955419,320
43,tech,-0.016259845751359123,0.7720106530456434,,0.10984374999999999,0.221367145452837,320,24.003125,11.642727997955419,320
44,home,0.03693862829258938,0.5102700877283868,,0.2868125,0.3299211494338458,320,24.003125,11.642727997955419,320
45,emo_sad,-0.13082262536355607,0.01922504555874666,Negative,0.078,0.16087378593170487,320,24.003125,11.642727997955419,320
46,we,0.4099753047480043,2.1093071592616348e-14,Positive,0.56065625,0.966412441370628,320,24.003125,11.642727997955419,320
47,Perception,0.06776036051481936,0.22674718906626534,,10.149375000000001,1.9846269131438785,320,24.003125,11.642727997955419,320
48,visual,0.11701341300563123,0.03642057135861618,Positive,0.5174375,0.5275767087294037,320,24.003125,11.642727997955419,320
49,Clout,0.5278262277822255,2.3681180288231025e-24,Positive,7.16028125,12.6625822399461,320,24.003125,11.642727997955419,320
50,ppron,-0.1933432734853889,0.0005052297006793581,Negative,14.1703125,1.5563793809170534,320,24.003125,11.642727997955419,320
51,work,0.07764417978180828,0.16586952922441592,,2.0511562499999996,1.0262575702940941,320,24.003125,11.642727997955419,320
52,focusfuture,-0.049475845676196166,0.3777077380068693,,0.331,0.4013908631247104,320,24.003125,11.642727997955419,320
53,reward,0.2929716660430345,9.40257223450072e-08,Positive,0.29171874999999997,0.3059133593003704,320,24.003125,11.642727997955419,320
54,adj,-0.17361577700198966,0.0018252404696833507,Negative,7.479625,1.3542725849602806,320,24.003125,11.642727997955419,320
55,moral,0.010738933758615357,0.8482453994532889,,0.20862499999999998,0.24154965198691553,320,24.003125,11.642727997955419,320
56,Exclam,0.02721143033416832,0.6277062834017362,,0.00246875,0.025381445456031465,320,24.003125,11.642727997955419,320
57,Comma,-0.09982758219923143,0.07454745069006374,,5.147375,1.3287962068635657,320,24.003125,11.642727997955419,320
58,conflict,-0.24818840351493215,7.027747635381031e-06,Negative,0.22459375,0.3427277855105091,320,24.003125,11.642727997955419,320
