,Liwc,statistics,p-val,rel,liwc_mean,liwc_std,liwc_len,trait_mean,trait_std,trait_len
0,death,,,,0.0,0.0,320,16.915625,8.414036240673974,320
1,Linguistic,0.24367897331321772,1.0402285426736708e-05,Positive,75.62934375,3.17978712052174,320,16.915625,8.414036240673974,320
2,insight,0.04712320867615581,0.4008334618382794,,3.992,1.3445625682726705,320,16.915625,8.414036240673974,320
3,Dic,0.1804840268378824,0.0011843145052377736,Positive,94.62493749999999,1.6935530316744585,320,16.915625,8.414036240673974,320
4,tentat,0.16753524304346357,0.0026426430520157403,Positive,2.5605625,1.4852761724991586,320,16.915625,8.414036240673974,320
5,space,-0.15726654973251103,0.004804939177984314,Negative,6.5453125,1.4977484860095,320,16.915625,8.414036240673974,320
6,friend,0.008439080693198053,0.8804689367403824,,0.39575,0.3080341904724214,320,16.915625,8.414036240673974,320
7,fatigue,-0.06555091163930435,0.24229101057867142,,0.010312499999999999,0.05172549993716832,320,16.915625,8.414036240673974,320
8,attention,0.0550848094245895,0.32596344362954777,,1.0049375,0.7022735372301522,320,16.915625,8.414036240673974,320
9,Physical,0.30794926836828646,1.8607106030304288e-08,Positive,0.4874375000000001,0.4188790799189547,320,16.915625,8.414036240673974,320
10,lack,-0.06502154476215302,0.2461234231821953,,0.06612499999999999,0.2042286938091707,320,16.915625,8.414036240673974,320
11,prep,0.023747416282022732,0.6721464322163151,,13.466437500000001,1.4711468089873796,320,16.915625,8.414036240673974,320
12,power,0.013330030162757727,0.8122439105109518,,0.9340624999999999,0.6020873035480403,320,16.915625,8.414036240673974,320
13,emo_anx,0.5723488990788049,3.051443737687174e-29,Positive,0.6399375,0.7071659961379294,320,16.915625,8.414036240673974,320
14,adverb,0.2279031195866098,3.868714515892799e-05,Positive,7.185437500000001,1.998118598480518,320,16.915625,8.414036240673974,320
15,ethnicity,0.012740953222025465,0.8203969850158218,,0.001375,0.01735610483374654,320,16.915625,8.414036240673974,320
16,focuspresent,0.06662670629088822,0.23463186361111232,,0.6260312499999999,0.5724854247257631,320,16.915625,8.414036240673974,320
17,nonflu,,,,0.0,0.0,320,16.915625,8.414036240673974,320
18,focuspast,0.1628324892332243,0.00348958861883411,Positive,10.156,1.6450965777120807,320,16.915625,8.414036240673974,320
19,tone_neg,0.4215885281615434,3.207354187135937e-15,Positive,1.50503125,1.1900659116298715,320,16.915625,8.414036240673974,320
20,time,-0.020596412442624796,0.713591453137985,,5.05421875,1.365391661629892,320,16.915625,8.414036240673974,320
21,motion,-0.22063788432878012,6.873879790073366e-05,Negative,1.58203125,0.8027760033305912,320,16.915625,8.414036240673974,320
22,Social,-0.10178117054144567,0.0690157493376675,,9.729375000000001,2.341710829580587,320,16.915625,8.414036240673974,320
23,verb,0.1727024805852524,0.001931050460958419,Positive,16.485468750000003,1.9704473870858459,320,16.915625,8.414036240673974,320
24,discrep,0.07961641564120717,0.1553444337938592,,1.2954374999999998,0.6616837867091425,320,16.915625,8.414036240673974,320
25,prosocial,-0.1235723898923564,0.0270803336146033,Negative,1.3295937500000001,0.7778083134429314,320,16.915625,8.414036240673974,320
26,memory,-0.09225494914360553,0.09948337372406439,,0.23078125,0.34595115572640817,320,16.915625,8.414036240673974,320
27,socbehav,-0.0360966387948643,0.5199651379023762,,4.212625,1.110047007732105,320,16.915625,8.414036240673974,320
28,cogproc,0.23475847881119333,2.210534134786471e-05,Positive,11.645406249999999,2.9572217468361988,320,16.915625,8.414036240673974,320
29,emo_neg,0.4639416622118324,1.746234482877506e-18,Positive,0.9685312500000001,0.8873728952776491,320,16.915625,8.414036240673974,320
30,mental,0.6773750894124019,2.612975103628754e-44,Positive,0.14837499999999998,0.21841871342675745,320,16.915625,8.414036240673974,320
31,number,-0.1639925242421314,0.003260465641804353,Negative,0.38721875,0.3476071088865093,320,16.915625,8.414036240673974,320
32,wellness,-0.06476701732969255,0.24798108109287467,,0.02359375,0.07754368098650914,320,16.915625,8.414036240673974,320
33,Conversation,0.1036041704520544,0.06416102026948445,,0.010312499999999999,0.04844999838751287,320,16.915625,8.414036240673974,320
34,AllPunc,-0.07475728697006385,0.18222580832510762,,12.12525,1.5238515962848878,320,16.915625,8.414036240673974,320
35,male,-0.06033514579873889,0.2818982501575186,,0.12028124999999998,0.29771984884860714,320,16.915625,8.414036240673974,320
36,allnone,0.06418645519257998,0.2522547665673485,,1.8935937500000002,1.0919869607559138,320,16.915625,8.414036240673974,320
37,you,0.09131367466231805,0.10299914924850324,,0.0016250000000000001,0.02050571566661354,320,16.915625,8.414036240673974,320
38,WPS,-0.033508393446031765,0.5503482122335746,,16.106625,1.6597572817659214,320,16.915625,8.414036240673974,320
39,illness,0.0504519494966809,0.3683581131147685,,0.0044375,0.04296432931805175,320,16.915625,8.414036240673974,320
40,OtherP,0.061943506470187475,0.26924446510098554,,0.26678125,0.31408689426405156,320,16.915625,8.414036240673974,320
41,pronoun,0.12711806205512938,0.022948433455272945,Positive,16.576749999999997,1.7412210334991935,320,16.915625,8.414036240673974,320
42,Tone,-0.402678397458639,6.639290034556782e-14,Negative,79.61475,23.987063530421974,320,16.915625,8.414036240673974,320
43,tech,0.042939914350602626,0.44398592009894056,,0.10984374999999999,0.221367145452837,320,16.915625,8.414036240673974,320
44,home,-0.10980551638482382,0.04970288304870453,Negative,0.2868125,0.3299211494338458,320,16.915625,8.414036240673974,320
45,emo_sad,-0.12611163066892273,0.024061861309282846,Negative,0.078,0.16087378593170487,320,16.915625,8.414036240673974,320
46,we,-0.10565785353282348,0.05903179017475767,,0.56065625,0.966412441370628,320,16.915625,8.414036240673974,320
