,Liwc,statistics,p-val,rel,liwc_mean,liwc_std,liwc_len,trait_mean,trait_std,trait_len
0,death,,,,0.0,0.0,320,44.15,6.986773218017027,320
1,Linguistic,-0.1564214581010885,0.005039695198994026,Negative,75.62934375,3.17978712052174,320,44.15,6.986773218017027,320
2,insight,0.27858375204501684,4.0932772503316963e-07,Positive,3.992,1.3445625682726705,320,44.15,6.986773218017027,320
3,Dic,-0.06130296697463947,0.2742366304867669,,94.62493749999999,1.6935530316744585,320,44.15,6.986773218017027,320
4,tentat,-0.1452616877238462,0.009263661462826327,Negative,2.5605625,1.4852761724991586,320,44.15,6.986773218017027,320
5,space,-0.021796574674558856,0.6976983597246325,,6.5453125,1.4977484860095,320,44.15,6.986773218017027,320
6,friend,-0.00777750142646001,0.8897774473805906,,0.39575,0.3080341904724214,320,44.15,6.986773218017027,320
7,fatigue,-0.09552966535450154,0.08798888415538719,,0.010312499999999999,0.05172549993716832,320,44.15,6.986773218017027,320
8,attention,0.21405545524883773,0.00011386236133250502,Positive,1.0049375,0.7022735372301522,320,44.15,6.986773218017027,320
9,Physical,-0.033174760094717294,0.5543270688094613,,0.4874375000000001,0.4188790799189547,320,44.15,6.986773218017027,320
10,lack,-0.11476575134042062,0.04019473324749213,Negative,0.06612499999999999,0.2042286938091707,320,44.15,6.986773218017027,320
11,prep,-0.12473174186988177,0.02566403712280946,Negative,13.466437500000001,1.4711468089873796,320,44.15,6.986773218017027,320
12,power,-0.09547214447224549,0.08818116516321003,,0.9340624999999999,0.6020873035480403,320,44.15,6.986773218017027,320
13,emo_anx,-0.11655597303902464,0.037163324790952336,Negative,0.6399375,0.7071659961379294,320,44.15,6.986773218017027,320
14,adverb,-0.0859188659043221,0.12508223520087988,,7.185437500000001,1.998118598480518,320,44.15,6.986773218017027,320
15,ethnicity,0.013505382114898405,0.8098208302654035,,0.001375,0.01735610483374654,320,44.15,6.986773218017027,320
16,focuspresent,0.05648017558509232,0.31383938798550964,,0.6260312499999999,0.5724854247257631,320,44.15,6.986773218017027,320
17,nonflu,,,,0.0,0.0,320,44.15,6.986773218017027,320
18,focuspast,-0.1694637155521918,0.0023530485832423793,Negative,10.156,1.6450965777120807,320,44.15,6.986773218017027,320
19,tone_neg,-0.20979113853841175,0.00015662369499939467,Negative,1.50503125,1.1900659116298715,320,44.15,6.986773218017027,320
20,time,0.07199593941130886,0.19895653764538665,,5.05421875,1.365391661629892,320,44.15,6.986773218017027,320
21,motion,0.3797374093373931,2.0433400546661397e-12,Positive,1.58203125,0.8027760033305912,320,44.15,6.986773218017027,320
22,Social,0.08325012442540396,0.13728538880606136,,9.729375000000001,2.341710829580587,320,44.15,6.986773218017027,320
23,verb,0.04810227756769115,0.39110843265390194,,16.485468750000003,1.9704473870858459,320,44.15,6.986773218017027,320
24,discrep,-0.05264985582178371,0.3478360658247982,,1.2954374999999998,0.6616837867091425,320,44.15,6.986773218017027,320
25,prosocial,0.01464925029092182,0.7940599083602073,,1.3295937500000001,0.7778083134429314,320,44.15,6.986773218017027,320
26,memory,0.1571711594122277,0.004830935157184364,Positive,0.23078125,0.34595115572640817,320,44.15,6.986773218017027,320
27,socbehav,0.0626454409454305,0.2638455035583741,,4.212625,1.110047007732105,320,44.15,6.986773218017027,320
