,variable,p-val,cohensd,male_mean,male_std,male_len,female_mean,female_std,female_len,effect,test
0,food,0.15112378887934425,0.0,0.06924999999999999,0.21664645739083757,160,0.0939375,0.19226315584050419,160,11610.5,m-w-test
1,you,0.847370210438565,0.0,0.0032500000000000003,0.02890826006524779,160,0.0,0.0,160,12960.0,m-w-test
2,conj,0.11929395294584146,0.0,10.0138125,1.4565403667058974,160,9.7820625,1.1742056340751181,160,2.439693247211523,anova
3,conflict,0.08088014585125454,0.0,0.254,0.3571172776553943,160,0.19518749999999999,0.3250576331110377,160,14245.0,m-w-test
4,socbehav,0.8978180725955796,0.0,4.204625,1.1201176765746534,160,4.220625,1.0998259450363044,160,0.01651759870143656,anova
5,achieve,0.06539042932532313,0.0,2.8225625,1.3066049741960077,160,2.5844375,1.0271567229949623,160,14325.0,m-w-test
6,politic,0.7096718695891622,0.0,0.032875,0.10989419627532657,160,0.029375000000000002,0.12089606848446315,160,13109.5,m-w-test
7,function,0.18423162995670744,0.0,61.2788125,2.987660742929785,160,60.834375,2.9680325317245098,160,1.7708392886693927,anova
8,quantity,0.7661089147894111,0.0,2.969125,1.2309053515096113,160,2.915,1.195496758673983,160,13047.0,m-w-test
9,filler,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
10,Physical,0.7259095481887977,0.0,0.49693750000000003,0.44700251240205574,160,0.4779375,0.3884940425460215,160,12509.0,m-w-test
11,time,0.11018551683860046,0.0,5.176375,1.2172512515397138,160,4.932062500000001,1.4889741002091843,160,2.5658671685644525,anova
12,adverb,0.1460218774280766,0.0,7.3745,2.0058382910892893,160,6.996374999999999,1.9723284106291732,160,14004.0,m-w-test
13,tone_pos,0.8060008455383698,0.0,6.358,1.841737223384487,160,6.308,1.7853766409360239,160,0.060414321416272905,anova
14,WC,0.780890556471886,0.0,424.75625,48.18736178644251,160,424.86875,50.59793991297966,160,13031.0,m-w-test
15,insight,0.35104180324934386,0.0,3.8924374999999998,1.2124075979610778,160,4.0915625,1.4580601611709134,160,12026.5,m-w-test
16,attention,0.2904951281141568,0.0,1.07525,0.7853915822696345,160,0.9346250000000002,0.5997071029886173,160,13676.0,m-w-test
17,ethnicity,0.847370210438565,0.0,0.0,0.0,160,0.00275,0.024468091466234142,160,12640.0,m-w-test
18,Tone,0.8097513212066463,0.0,79.8841875,24.20351483958154,160,79.3453125,23.76558667279947,160,13000.0,m-w-test
19,shehe,0.2861049952812679,0.0,0.0443125,0.24329411695260938,160,0.0640625,0.22410180966192572,160,11916.0,m-w-test
20,fulfill,0.15849251335232936,0.0,0.25993750000000004,0.26985991012699534,160,0.3151875,0.3056795132876098,160,11631.5,m-w-test
21,Period,0.41915094819225895,0.0,6.242625,0.6305637234847878,160,6.2998125,0.6300877636042062,160,0.6543938361511064,anova
22,feeling,0.3857594516997742,0.0,0.6345625,0.563549961044937,160,0.6515625,0.49652611572177147,160,12080.5,m-w-test
23,Culture,0.04599709180473368,0.2402,0.172,0.26429339757171383,160,0.11256250000000001,0.22931214227281993,160,14451.0,m-w-test
